Date_operation,Entrée,Sortie,Stock
2023-07-09 16:03:54,0,200,126
2024-07-09 10:45:11,0,15,1203
2023-07-11 08:36:40,0,50,90
2024-07-11 10:15:13,0,50,99
2022-07-12 13:30:50,0,30,82
2023-07-12 09:27:52,0,50,550
2024-07-12 16:34:51,0,50,1050
2024-08-01 11:30:23,0,150,250
2023-08-03 08:01:00,0,50,775
2023-08-05 08:31:06,0,50,650
2023-08-07 09:09:29,0,40,431
2023-08-07 09:16:49,100,0,531
2023-08-07 11:13:13,0,100,431
2025-08-07 11:37:17,0,100,536
2023-08-08 11:12:57,0,30,216
2023-08-08 12:00:10,0,100,116
2025-08-08 11:21:12,0,100,590
2023-08-09 11:50:40,0,100,26
2024-08-10 09:51:57,0,50,1048
2024-08-10 11:52:50,0,150,898
2023-08-11 09:58:13,500,0,590
2022-08-12 08:40:16,0,60,22
2023-08-12 11:31:17,0,50,500
2023-09-01 09:02:41,0,70,434
2023-09-01 10:55:07,0,100,334
2023-09-01 17:04:57,0,30,304
2024-09-03 09:49:32,0,20,825
2025-09-04 09:35:44,1100,0,1311
2025-09-04 12:59:37,0,100,1211
2023-09-06 08:57:36,0,100,350
2023-09-06 09:07:35,0,25,325
2025-09-07 11:28:57,0,50,486
2023-09-08 08:53:31,0,50,66
2024-09-08 08:06:39,1200,0,1200
2024-09-08 09:07:54,0,100,1100
2024-09-08 09:52:45,0,200,900
2025-09-08 11:59:38,0,100,490
2022-09-09 09:03:54,0,300,-300
2022-09-09 09:16:41,1000,0,700
2022-09-09 11:00:37,0,100,600
2023-09-09 08:46:47,0,25,1
2024-09-09 09:01:05,0,50,1153
2024-09-09 13:42:04,0,150,1003
2024-09-09 15:38:16,15,0,1018
2023-09-11 09:48:09,0,100,490
2023-09-11 11:41:20,0,50,440
2022-09-12 08:36:21,0,20,2
2024-09-12 10:18:16,0,5,1040
2024-09-12 10:18:16,0,5,1045
2024-09-12 17:16:11,5,0,1045
2023-10-01 08:32:28,0,50,254
2023-10-01 14:37:43,0,25,229
2024-10-01 09:43:39,0,50,200
2025-10-02 10:29:46,0,100,720
2025-10-02 10:49:51,0,50,670
2023-10-03 08:25:06,0,30,745
2023-10-04 08:20:27,0,70,230
2023-10-04 12:21:07,0,150,80
2025-10-04 11:56:29,0,100,1111
2025-10-04 16:27:13,0,3,1108
2023-10-05 08:36:17,0,50,600
2024-10-05 09:04:03,0,40,290
2023-10-06 10:03:30,0,100,225
2023-10-07 08:31:24,0,50,381
2025-10-07 11:03:09,0,100,386
2024-10-08 17:23:04,0,50,850
2024-10-09 10:31:45,0,50,968
2024-10-09 13:48:22,0,20,948
2023-10-11 09:07:09,0,50,390
2022-10-12 16:55:43,0,1,1
