Date_operation,Entrée,Sortie,Stock
2020-01-01 16:39:13,0,0,0
2023-01-02 09:11:17,0,30,1035
2023-01-02 12:27:15,0,100,935
2023-01-02 12:27:15,0,2,933
2024-01-02 10:29:08,0,10,418
2023-01-03 09:29:15,34,0,1359
2023-01-03 15:29:51,800,0,2159
2024-01-03 16:42:12,0,75,1083
2023-01-04 08:26:38,0,15,994
2023-01-04 12:23:59,0,30,964
2023-01-04 13:33:44,0,10,954
2024-01-04 11:15:05,0,20,1341
2025-01-04 11:13:49,0,50,159
2025-01-04 11:48:05,0,2,157
2025-01-04 12:12:09,0,90,67
2025-01-04 14:06:59,0,1,66
2024-01-06 12:06:18,500,0,1799
2024-01-06 12:16:20,0,30,1769
2024-01-06 15:27:27,500,0,2269
2025-01-07 10:39:24,0,15,307
2025-01-07 11:13:45,1,0,308
2025-01-07 11:34:09,0,100,208
2022-01-08 10:47:51,0,100,1408
2022-01-08 15:40:06,0,15,1393
2023-01-08 10:27:48,0,30,971
2023-01-08 14:38:36,0,5,966
2024-01-08 09:14:03,0,20,-20
2024-01-08 09:37:34,400,0,380
2024-01-08 09:42:08,0,100,280
2024-01-08 11:01:36,0,60,220
2024-01-08 11:02:37,0,20,200
2024-01-08 12:10:20,0,35,165
2024-01-08 15:35:36,0,20,145
2025-01-08 10:29:08,0,20,237
2025-01-08 14:15:12,0,1,236
2022-01-09 15:38:40,3,0,1236
2022-01-09 17:05:07,0,15,1221
2023-01-09 14:51:15,92,0,751
2024-01-10 13:11:43,0,25,405
2022-01-11 11:52:57,0,2,287
2022-01-11 11:52:57,0,100,289
2022-01-11 13:53:22,0,1,236
2022-01-11 13:53:22,0,50,237
2022-01-11 14:58:04,0,10,226
2022-01-12 11:36:50,0,5,1291
2023-01-12 16:55:20,0,50,1118
2023-02-01 08:57:44,0,20,1736
2024-02-01 08:02:52,180,0,956
2024-02-01 09:08:42,0,15,941
2024-02-01 11:11:54,0,30,911
2023-02-02 17:32:03,0,2,831
2023-02-02 17:32:03,0,100,833
2024-02-02 10:27:17,0,30,388
2024-02-02 17:05:11,0,30,358
2024-02-03 09:50:42,0,20,1063
2024-02-04 12:11:04,0,30,1311
2025-02-04 10:05:40,0,15,51
2025-02-04 10:26:42,0,50,1
2025-02-05 09:23:24,0,50,26
2025-02-05 15:07:31,0,1,25
2025-02-07 10:46:25,0,50,158
2025-02-07 11:19:10,0,50,108
2025-02-07 11:34:00,0,70,38
2025-02-07 11:34:00,0,15,23
2022-02-08 11:04:28,0,5,1388
2022-02-08 11:39:48,396,0,1784
2022-02-08 12:45:49,34,0,1818
2022-02-08 15:08:44,0,10,1808
2022-02-08 15:11:03,0,2,1806
2022-02-08 15:12:29,0,10,1796
2022-02-08 15:14:52,0,10,1786
2023-02-08 09:48:08,0,200,766
2024-02-08 11:45:17,0,50,95
2025-02-08 10:48:43,0,1,235
2025-02-08 11:11:57,0,30,205
2022-02-09 11:24:56,0,50,1403
2022-02-09 12:49:37,0,3,1218
2023-02-10 09:37:42,0,30,568
2023-02-10 14:36:10,0,15,553
2024-02-10 09:38:09,0,20,385
2024-02-11 10:34:53,0,100,709
2022-02-12 08:27:23,0,20,1271
2022-02-12 12:38:47,0,50,1221
2022-02-12 12:38:47,0,1,1220
2022-02-12 16:47:23,0,2,1118
